country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.3,90.1,90.1,90.3,89.8,90.9,90.8,90.8,90.8,88.6,89,87,85.8,87,87.2,88,88.8,89,89.1,89.3,89.3,89.4,89.5,89.6,88.4,89,89.1,89.2,88.9,88.8,88.5,88.4,88.3,88.2,87.4,86.9,86,85.8,84.9,83.8,83.1,83.8,83.9,84.4,84.5,83.6,83.6,82.7,82.7,81.6,81.3,79.6,79.2,79.1,78.3,78.9,79.4,79.5,78.7,78.9,78.1,78,76.8,78,77.9,77,77,76,76,75,74.1,73.3,73.4,72.5,72.4,72.3,71.2,71.3,70.2,70.2,67.3,66,64,63.6,62.1,61.7,61.5,59.9,59.9,58.3,58.2,56.6,56.9,56.2,59.5,59.3,58.1,57,57.1,55.2,53.7,51.9,50.3,50.3,48.7,45.4,43.7,42,40.2,40,35.1,37.1,33.1,31.2,31.8,32.3,30.5,27.9,26.3,31,33.8,33.5,33.9,33.9,31.9,32.4,43.7,43.6,37,33.6,28.4,35.6,30.3,33.6,34,25.3,17.7,11.9,13.9,15.3,16,20,22.9,28.1,29.7,33.4,35.1,55.1,71.3,48.7,51.9,53.5,56.7,58.2,59.8,64.3,51.9,50.4,50.4,47.2,45.6,39.5,38.1,30.3,26.7,28,24.2,23.2,24.2,24.2,24.2,24.2,25.4,25.4,28.5,46.6,53.5,54.7,56.3,56.1,54.7,54.8,53,51.5,47.5,43.5,42,42.1,40.6,39.1,39.1,37.6,36.2,36.2,34.8,33.3,33.3,31.9,31.9,30.8,29.6,29.7,28.5,27.2,27.5,26.4,25.1,25.1,23.9,22.7,22.7,21.6,20.5,20.5,19.2,18.2,18.2,17.2,16.2,15.3,15.3,14.4,13.6,13.4,12.8,12,11.2,11.1,10.5,9.81,9.28,9.29,8.81,8.47,8.14,7.93,8.01,7.57,7.27,6.96,6.43,6.43,6.02,5.42,5.02,4.57,4.49,4.15,3.83,3.55,3.28,2.97,2.71,2.68,2.39
Angola,91.8,91.8,91.8,91.8,91.8,91.3,91.3,91.3,91.3,91.3,91.3,91.4,90.9,90.9,90.9,90.9,90.9,90.9,90.4,90.4,90.4,90.4,90.4,90.4,89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.3,89.3,89.3,89.3,89.3,89.3,88.7,88.7,88.7,88.7,88.7,88.7,88.1,88.1,88.1,88.1,88.1,88.1,87.4,87.4,87.4,87.4,87.4,87.5,87.5,86.8,86.8,86.8,86.8,86.8,86.8,86.1,86.1,86.1,86.1,86.2,86.2,86.2,85.5,85.5,85.5,85.5,85.5,85.5,84.7,84.7,84.7,84.8,84.8,84.8,84,84,84,84,84,84,83.2,83.2,83.2,83.3,83.3,83.3,83.4,82.5,82.5,82.5,82.6,82.6,82.6,81.8,81.8,81.8,81.8,81.8,81.8,81,81,81,81,81,81,81,80.2,79.2,78.3,77.3,76.3,75.3,74.3,73.2,72.1,70.9,69.7,67.3,66.1,64.9,63.7,62.4,61.2,59.9,58.7,56.1,54.9,53.7,52.5,51.3,50.1,48.9,47.6,45.1,44,41.5,39.1,38.1,35.8,33.7,32.7,30.6,28.5,27.6,25.9,25.1,24.3,25.3,22.9,23,20.8,19.5,19.6,19,16.1,16.7,16.2,14.1,12.7,11.8,11,11.5,11.1,10.3,9.92,9.96,9.22,9.65,13.6,15.2,15.2,15.8,15.9,15.4,16.8,17.2,17.3,17.3,17.1,17.4,17.4,16.9,17.3,18.5,18.6,20.2,25.8,25.9,24,22,21.3,21.1,21.3,21.3,22.2,21.1,22,21.1,19.1,17.9,16.1,15.2,16.4,18.4,19.5,20.8,22.1,22.4,21.5,24.7,27.8,30.8,32.3,34.4,35.4,35.7,35.9,35.6,34.6,34.5,34.5,33.3,32.2,33.2,32,30.9,30.9,29.7,28.6,27.5,26.5,25.4,24.4,24.3,23.3,22.3,21.3,20.3,19.4,18.5,17.7,17.6,16.8,16,15.3,14.5,13.8,13.1,12.4,12.4,11.7,11.1,10.4,9.87,9.33,8.81,8.78,8.28,7.8,7.33,6.88,6.46,6.06,6.04,5.64,5.27,4.92,4.59,4.28,4.26,3.96,3.69,3.42,3.17,3.16,2.93,2.71,2.55,2.36,2.36,2.19,2.04,1.91,1.9,1.78,1.64,1.51,1.5,1.39,1.29,1.28,1.18,1.09,1.09
Albania,92.4,92.4,92.4,92.4,92.4,92,92,92,92,92,92,92,92,92,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.2,89.2,89.2,89.3,89.3,89.4,89.3,89.5,90.8,91.3,90.9,91.4,92.7,92.8,92.9,93,91.8,92.4,92.2,92,92.1,92.4,92.5,92.7,92.5,92.6,92.6,92.6,92.7,92.2,92.2,92.3,92.3,92.3,92.3,92.4,92.4,92.4,91.9,91.9,92,92,92,92,92.1,92.1,92.1,92.2,91.6,91.6,91.6,91,90.4,89.7,89,88.2,87.4,86.5,85.6,84.5,83.4,82.2,80.9,78.1,76.6,75.1,73.5,71.9,70.3,68.6,67,65.3,63.5,61.7,59.9,57.9,55.8,53.7,51.5,47.3,45.2,43.2,41.2,39.3,37.3,33.6,31.7,29.8,29.7,29.5,27.6,24.1,20.5,20.3,17,14.4,12,9.93,9.85,8.86,7.22,6.49,5.83,4.61,4.06,3.55,2.72,2.37,2.05,1.75,1.29,1.27,1.08,1.06,0.89,0.88,0.74,0.72,0.65,0.62,0.64,0.74,0.76,0.64,0.72,0.8,0.63,1.02,3.11,3.96,2.82,2.02,1.26,0.87,2.01,2.07,1.15,1.21,1.3,1.41,1.18,0.95,0.79,0.57,0.39,0.27,0.41,0.52,0.62,0.74,1.23,1.39,0.29,0.37,0.52,0.16,0.02,0.05,0.03,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09
UAE,30.6,29.5,29.5,29.5,29.6,29.6,29.4,29.4,29.4,28,28,28,28,28,28,28.1,26.7,26.7,26.7,26.7,27.3,27.4,27.7,26.3,26.7,26.6,26.8,26.8,26.9,26.9,27.2,25.9,25.9,25.8,25.8,26.3,26.6,27,25.7,26.1,26.3,26.5,26.5,26.7,26.7,26.8,25.6,25.6,26.1,26.1,26.1,26.1,26.1,24.8,25.1,25.1,25.3,25.3,25.6,25.6,25.6,24.7,24.7,24.6,24.5,24.7,24.8,24.9,23.7,23.7,24,24.1,22.4,22.4,20.9,20.1,19.4,19.2,17.9,17,16.7,15.3,15.2,14.4,14.2,13.5,13.7,12.2,11.9,10.7,10.6,10.1,10.4,9.59,9.31,8.56,8.57,7.97,7.79,7.27,6.93,6.98,6.46,6.22,5.47,5.52,5.19,5.04,4.73,4.8,4.36,4.5,4.12,4.1,4.37,5.21,6.32,7.41,8.59,7.47,6.32,5.23,4.53,4.48,4.77,4.93,5.28,5.36,5.72,7.41,9.26,10.6,13.1,15.7,18.6,18.5,19.6,19.3,20.1,20,20.7,20.8,19.8,19.8,19.6,18.9,17.8,16.9,16,15,14.2,13.4,12.6,12,11.2,10.4,9.84,9.27,6.61,4.41,2.97,1.65,0.69,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,38.6,37,37,36.5,36.3,36.3,36,36,36,34.2,34.2,34.1,34.1,34.1,34.1,34.1,34.1,32.5,32.6,32.9,32.9,32.9,31.4,31.5,31.6,31.8,30.3,30.6,30.6,30.6,29.5,29.6,29.4,28.8,28.1,28.1,28.1,26.8,26.8,27.4,27.7,26.7,26.8,26.9,27.2,25.9,24.2,23.8,22.4,22.5,22.5,21.6,20.5,22.6,23.9,22.6,31.4,31.7,29.1,24.9,27.1,25.9,24.3,23.3,24,27.1,26.3,25.9,25.4,22.2,21.1,19.6,19.5,18.1,16.8,15.4,15.7,12.9,17.8,18.3,20.3,20.6,14.5,12.1,11.2,8.25,8.62,8.32,7.09,6.97,8.34,9.44,7.42,6.59,5.41,4.35,3.85,6.43,5.22,3.71,5.94,6,6.96,5.13,4.35,3.58,3.58,3.57,2.81,2.73,2.49,2.52,2.05,2.46,4,4.37,4.59,6.16,4.19,4.17,3.43,3.49,2.91,2.39,1.96,2.69,2.5,2.31,1.89,1.89,2.26,3.25,3.77,3.5,2.67,2.42,2.64,2.16,2.08,1.93,1.81,1.37,1.21,1.25,0.84,0.96,0.74,0.56,0.59,0.68,0.82,0.74,0.92,0.79,0.72,0.48,0.48,0.47,0.41,0.46,0.37,0.31,0.32,0.42,0.32,0.26,0.24,0.24,0.21,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.02,0.03,0.05,0.09,0.09,1.35,1.33,1.38,1.44,1.28,2.17,2.45,1.15,2.73,2.68,2.76,3.46,3.31,4.53,6.92,12.1,5.43,4.23,2.82,2.48,2.01,1.67,1.72,1.02,0.84,0.82,0.78,0.73,0.75,0.83,0.73,1.19,1.22,1.37,1.1,0.8,0.87,0.97,0.88,0.82,0.77,0.72,0.67,0.73,0.67,0.63,0.59,0.59,0.54,0.51,0.51,0.48,0.45,0.42,0.42,0.39,0.37,0.37,0.35,0.33,0.32,0.31,0.31,0.29,0.28,0.27,0.26,0.26,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08
Armenia,92.7,92.7,92.7,92.7,92.7,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.5,91.5,91.5,91.5,91,91,91,91,90.6,90.6,90.6,90.1,90.1,90.1,90.1,89.6,89.6,89.6,89.1,89.1,89.1,88.5,88.5,88.5,88.5,88,88,88.2,87.5,88,88,87.2,87.1,84.7,84.1,81.6,81.7,83.4,83.6,84.4,84.9,84.7,84.1,83.1,82.2,82.3,82,80.9,81.8,82.2,81.5,81.5,81.2,79.6,78.9,79,79.5,78.4,78.4,78,79.7,79.3,78.2,77.7,77,75.5,76.3,69,69.5,72,73.5,77.1,72.8,68.5,61.1,64.6,58.2,59.7,58.3,53.7,55.4,54.1,49.7,53.1,48.7,55.8,59.5,61,59,56.6,53.8,57.9,53.8,51,52.5,51.1,52.5,61.8,69.3,76.7,77.7,79.5,76.8,73.7,70.4,66.8,63.1,59.1,53.6,49.4,47.9,46.5,47.8,45,40.8,34.1,31.4,27.4,27.4,24.8,27.3,28.4,29.7,30.9,32.2,32.1,33.4,28,21.9,18.7,15.7,16.6,14.7,13.8,12.9,11.4,9.02,8.94,7.45,8.12,5.99,5.3,5.28,6.54,4.16,3.63,3.14,2.72,1.96,1.95,1.35,1.32,1.56,1.03,1.01,1.21,1.43,1.38,1.65,1.98,1.97,2.14,1.79,1.83,1.44,1.15,1.18,1.79,2.54,1.1,2.04,4.5,20.6,23,19.8,16.7,14.7,13.2,14.1,12.8,14.2,14.3,11.1,8.09,5.96,3.25,2.3,1.73,1.04,1.49,1.31,1.5,1.11,1.8,1.7,1.39,1.32,1.02,1.57,1.12,0.55,0.82,0.88,0.67,0.54,0.53,0.48,0.47,0.43,0.42,0.45,0.34,0.27,0.13,0.14,0.14,0.14,0.13,0.16,0.18,0.2,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.13,0.15,0.15,0.17,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
Antigua and Barbuda,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.3,93.3,93.3,93.3,93,93,93,93,92.6,92.6,92.6,92.6,92.3,92.3,92.3,92.3,91.8,91.8,91.8,91.8,91.4,91.4,91.4,91.4,91,91,91,91,91,90.5,90.5,90.5,90.5,90,90,90,90,89.5,89.5,89.5,89.5,88.9,88.9,88.9,88.9,88.4,88.4,88.4,88.4,87.8,87.8,87.8,87.8,87.2,87.1,87.2,87.2,86.5,86.5,86.5,86.5,86.5,85.8,85.8,85.8,85.8,85.1,85.1,85.1,85.1,84.3,84.3,84.3,84.3,83.5,83.6,83.6,83.5,82.7,82.7,82.7,82.8,81.9,81.9,81.9,81.9,81,81,81,81,80,79,78,77,75.8,74.7,74.7,73.4,72.2,70.7,69.3,68,66.5,65,65,63.5,61.9,60.3,58.7,57.1,55.5,53.8,53.7,52,50.3,48.5,46.1,43.9,42.9,40.7,38,35,34.9,32.5,29.8,29,26.5,24,22,21.6,20.3,18.1,16.1,15.8,14.2,13,12.9,10.7,9.74,8.46,7.79,6.66,5.88,4.9,4.31,3.79,3.35,2.33,1.28,0.74,0.62,1.08,1.78,1.28,1.08,0.43,0.3,0.37,0.53,0.63,1.17,1.3,1.18,1.02,0.72,0.78,0.76,0.76,0.76,0.7,0.65,0.76,0.65,0.6,0.63,0.56,0.45,0.63,0.6,0.52,0.46,0.37,0.18,0.09,0.09,0.37,0.49,0.57,0.52,0.57,0.53,0.53,0.43,0.42,0.32,0.24,0.66,0.52,0.37,0.31,0.22,0.2,0.18,0.16,0.12,0.09,0.13,0.1,0.09,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,85.5,84.9,84.9,84.9,84.9,84.1,84.1,84.1,84.1,84.1,83.4,83.4,83.4,83.4,83.4,82.6,82.6,82.6,82.6,82.6,81,81,80.1,79.3,77.4,75.4,75.4,73.3,73.3,71.1,62.2,59.5,59.5,59.5,56.5,45.6,45.6,44,44,48.8,34.5,44,48.8,40.7,33.1,31.8,29.4,21.3,17.8,21.3,25.4,20.7,17.6,16,18.6,20.8,15.3,16.4,20.2,12.3,9.89,11,11.8,13.8,11.7,12.9,12.1,9.92,9.01,9.46,8.37,8.23,7.27,6.23,6.21,5.32,5.91,4.84,4.01,7.01,7.28,6.91,8.65,8.31,7.98,5.8,3.04,2.35,2.55,2.25,2.68,2.27,3.06,3.44,3.38,4.35,3.67,4.33,3.18,3.17,3.29,3.46,3.69,3.21,2.77,2.74,2.38,2.36,2.19,1.87,1.58,1.69,1.67,1.62,1.54,1.54,1.51,1.49,1.51,1.35,1.26,1.17,1.12,1.06,1,0.96,0.98,0.99,1.02,1.06,1.21,1.4,2.06,1.99,2.03,2.14,2.03,1.84,1.41,1.26,1.61,1.52,1.18,1.19,1.34,1.46,1.2,1.12,1.1,1.09,1.08,1.09,1.12,1.13,1.11,1.09,1.1,1.11,1.11,1.11,1.1,1.13,1.1,1.13,1.1,1.08,1.05,1.04,1.02,1,0.98,0.97,0.98,0.97,0.95,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.91,0.91,0.91,0.87,0.85,0.84,0.8,0.77,0.77,0.8,0.83,0.85,0.44,0.38,0.47,0.87,0.84,0.82,0.4,0.31,0.87,0.49,0.57,0.53,0.48,0.41,0.35,0.38,0.38,0.41,0.45,0.48,0.46,0.47,0.44,0.48,0.49,0.5,0.48,0.48,0.49,0.49,0.49,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22
Austria,57.1,56.9,56.9,56.9,56.9,56.9,55.6,55.6,55.5,55.2,55.2,55.5,54.2,53.9,53.9,52.5,52,51.3,48.2,47.2,42.3,40.5,40.3,38.6,38.6,36.3,39.3,42.8,45.2,43.9,40.7,39.2,39.8,39.8,38.3,38.1,38,37.6,36.8,34.7,39.3,39.5,39.4,39.3,36.6,28.4,28.5,26.7,25.4,24.2,24.1,24.5,23.8,23.7,22.4,22.4,22.4,22.4,21.2,21.2,21.2,21.2,21.2,20.1,20.1,20.1,20.1,20.2,20.2,19,19,17,16.9,18.2,17.2,17.1,17,15.9,15,14.9,14.8,14,13.9,12.9,12,12.6,11.7,10,9.54,10.2,8.9,8.32,8.28,8.27,7.82,7.28,7.25,6.79,6.29,5.83,5.8,6.23,5.74,5.71,5.67,4.94,4.67,4.1,4.08,4.35,4.32,4.01,3.5,3.77,5.9,6.57,6.93,6.89,7.34,9.37,8.14,6.41,5.57,5.56,4.32,3.84,3.61,3.32,3.07,2.84,3.24,4.08,4.98,5.25,5.26,4.91,4.6,4.12,3.2,2.47,2.63,2.3,2.58,2.42,2.27,14.4,11.4,8.83,4.93,3.4,3.14,3.51,3.3,2.79,1.76,1.5,1.39,1.22,1.18,1.1,0.93,0.83,0.79,0.76,0.68,0.64,0.56,0.52,0.48,0.41,0.35,0.31,0.28,0.26,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.15,0.15,0.14,0.14,0.12,0.12,0.11,0.11,0.11,0.04,0.01,0.09,0.19,0.09,0.02,0.14,0.26,0.31,0.08,0.16,0.1,0.38,0.43,0.3,0.49,0.44,0.58,0.29,0.22,0.18,0.23,0.34,0.18,0.56,0.61,0.38,0.38,0.37,0.38,0.36,0.36,0.35,0.35,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16
Azerbaijan,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.1,90.1,90.1,90.1,90.1,89.7,89.7,89.7,89.7,89.7,89.3,89.3,89.3,89.3,89.3,89.3,88.9,88.9,88.9,88.9,88.9,88.5,88.5,88.5,88.5,88.5,88.1,88.1,88.1,88.1,88.1,87.6,87.6,87.6,87.6,87.6,87.1,87.1,87.1,87.1,87.1,86.7,86.7,86.7,86.7,86.7,86.2,86.2,86.2,86.2,86.2,85.7,85.8,85.8,85.8,85.9,85.4,85.4,85.5,85.6,85.8,85.3,85.6,87.2,82.4,83.3,85.8,85.8,88.3,86.3,83.1,77.7,81.3,76.9,78.4,77.2,74.3,75.3,73.7,69.2,73.1,67,74,75.3,77.8,72.8,71.6,69.3,73.7,70.6,68.7,71.2,69.6,74.2,79.7,93,94.9,95,95.9,94.3,92.1,86.4,78.2,73.1,70.4,67.8,68,65.4,65.7,66,64.6,59.8,51.3,47.3,41.6,41.5,38.1,41.4,43,43,44.6,46.2,46,47.6,40.6,32.2,27.6,23.7,23.7,22.2,20.9,18.3,15.9,13.2,13.4,11.7,12.5,10.3,9.61,8.94,10.1,7.72,6.71,5.84,5.38,4.7,4.69,3.88,3.85,3.81,3.15,3.14,3.12,3.11,3.11,3.11,3.11,3.1,2.83,2.63,2.54,2.35,2.28,2.21,2,1.99,2.32,2.79,2.98,4.3,6.61,10.2,13.3,12.7,12,10.8,9.48,8.01,6.68,0.1,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
